"URI","Title","RecordId","Authority","Degree","Deity","Denomination","Dynasty","Engraver","Era","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Year","Date Record Modified"
"http://numismatics.org/ocre/id/ric.6.alex.80","RIC VI Alexandria 80","ric.6.alex.80","Maximinus Daia","","Providentia","AE2","","","","","","Struck","Bronze","Alexandria","D N DIOCLETIANO BAEATIS","Bust of Diocletian, laureate, wearing imperial mantle, right, holding olive branch in right hand and mappa in left hand","Coin","Diocletian","","Egypt","PROVIDENTIA DEORVM","Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand","308","2016-06-24T16:33:25Z"
"http://numismatics.org/ocre/id/ric.9.tri.29C","RIC IX Treveri 29C","ric.9.tri.29C","Valentinian I","","","AE2","","","","","","Struck","Bronze","Trier","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, left","Coin","Valens","","Gallia","GLORI-A ROMA-NORVM","Camp-gate with S between its two turrets","367|375","2016-10-24T08:51:09Z"
"http://numismatics.org/ocre/id/ric.3.ant.774","RIC III Antoninus Pius 774","ric.3.ant.774","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","LIBERALITAS AVG IIII COS IIII S C","Antoninus Pius, seated left on platform on right; behind him, officer, in front Liberalitias, standing left, holding account-board and cornucopiae; belowe, citizen standing right, holding out fold of toga","145|161","2014-11-04T11:03:05.85Z"
"http://numismatics.org/ocre/id/ric.9.med.31A","RIC IX Mediolanum 31A","ric.9.med.31A","Eugenius","","","Light miliarensis","","","","","","Struck","Silver","Mediolanum","D N EVGENI-VS P F AVG","Bust of Eugenius, pearl-diademed, draped and cuirassed, right","Coin","Eugenius","","Italy","GLORIA-RO-MANORVM","Emperor, head left, standing facing, holding standard in right hand and resting left on shield","393|394","2016-10-24T08:45:34Z"
"http://numismatics.org/ocre/id/ric.3.ant.772","RIC III Antoninus Pius 772","ric.3.ant.772","Antoninus Pius","","Honos","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","HONORI AVG COS IIII S C","Honos, draped, standing front, head left, holding branch in extended right hand and cornucopiae, tip turned away from body, in left","145|161","2014-11-04T11:04:41.198Z"
"http://numismatics.org/ocre/id/ric.5.gall(2).236","RIC V Gallienus 236","ric.5.gall(2).236","Gallienus","","Mars","Antoninianus","","","","","","Struck","Silver","Rome","GALLIENVS AVG","Bust of Gallienus, radiate, draped, right | Head of Gallienus, radiate, right | Bust of Gallienus, radiate, cuirassed, right","Coin","Gallienus","","Italy","MARTI PACIF","Mars, helmeted, in military attire, standing or walking left, holding olive-branch in right hand and spear and shield in left hand","260|268","2015-06-10T14:22:30Z"
"http://numismatics.org/ocre/id/ric.3.ant.769","RIC III Antoninus Pius 769","ric.3.ant.769","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P COS IIII","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","DISCIPLIN AVG S C","Antoninus Pius, advancing right, followed by officer and three soldeirs carrying standards","145|161","2014-11-04T11:03:54.999Z"
"http://numismatics.org/ocre/id/ric.3.ant.767B","RIC III Antoninus Pius 767B","ric.3.ant.767B","Antoninus Pius","","","Sestertius","","","","","","Struck","Bronze","Rome","ANTONINVS AVG PIVS P P TR P","Head of Antoninus Pius, laureate, left","Coin","Antoninus Pius","","Italy","COS IIII S C","Antoninus Pius, draped, standing in quadriga pacing left, extending right hand and holding eagle-tipped sceptre in left","145|161","2014-11-04T11:05:09.338Z"
"http://numismatics.org/ocre/id/ric.5.gall(2).235cB","RIC V Gallienus 235cB","ric.5.gall(2).235cB","Gallienus","","Diana","Antoninianus","","","","","","Struck","Silver","Rome","GALLIENVS AVG","Bust of Gallienus, radiate, draped, cuirassed, right","Coin","Gallienus","","Italy","LVNA LVCIFERA","Diana, draped, standing right, holding torch in both hands","260|268","2015-06-10T14:22:29Z"
"http://numismatics.org/ocre/id/ric.9.tri.24E","RIC IX Treveri 24E","ric.9.tri.24E","Valentinian I","","Victory","Light miliarensis","","","","","","Struck","Silver","Trier","D N GRATIANVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Gallia","VICTORIA AVGVSTORVM","Victory standing right, left foot on globe, writing VOT/X/MVLT/X on shield placed on cippus","367|375","2016-10-24T08:51:05Z"
